task_id,project,state,status,kt_tests,kt_killed,kt_mutants,kt_survived,kt_nocov,kt_ms,kt_cpr,kt_epr,kt_kpt,kt_secs,kt_lc,kt_bc,kt_ic,kt_lcp,kt_bcp,kt_icp,f_tests,f_killed,f_mutants,f_survived,f_nocov,f_ms,f_cpr,f_epr,f_kpt,f_secs,f_lc,f_bc,f_ic,f_lcp,f_bcp,f_icp,mutants,d_ms_pp,d_lc_pp,d_bc_pp,d_ic_pp,d_kpt,newly_killed,lost_kills,added_tests,seed_health,suite_green
Element_getNamespace,jdom2,completed,COMPLETED,9,14,15,1,0,93.33,True,True,1.5556,,94.74,80.0,96.15,94.74,80.0,96.15,10,14,15,1,0,93.33,True,True,1.4,8.071,94.74,85.0,98.72,94.74,85.0,98.72,15,0.0,0.0,5.0,2.56,-0.1556,0,0,1,GREEN,True
Element_getNamespacesInScope,jdom2,completed,COMPLETED,11,7,9,1,1,77.78,True,False,0.6364,,100.0,86.36,100.0,0.0,0.0,0.0,12,7,9,1,1,77.78,True,False,0.5833,41.098,85.19,68.18,83.09,0.0,0.0,0.0,9,0.0,-14.81,-18.18,-16.91,-0.0531,0,0,1,GREEN_FILTERED,True
AbstractXMLOutputProcessor_printContent,jdom2,completed,COMPLETED,9,7,12,1,4,58.33,True,False,0.7778,,79.17,71.43,80.25,0.0,0.0,0.0,12,11,12,0,1,91.67,True,False,0.9167,28.46,91.67,85.71,91.36,0.0,0.0,0.0,12,33.333,12.5,14.29,11.11,0.1389,4,0,3,GREEN_FILTERED,True
Format_escapeText,jdom2,completed,COMPLETED,9,10,25,13,2,40.0,True,False,1.1111,,63.27,68.42,64.1,0.0,0.0,0.0,16,12,25,12,1,48.0,True,False,0.75,76.781,73.47,78.95,74.36,0.0,0.0,0.0,25,8.0,10.2,10.53,10.26,-0.3611,2,0,7,GREEN_FILTERED,True
Verifier_isXMLPublicIDCharacter,jdom2,completed,COMPLETED,5,32,36,3,1,88.89,True,True,6.4,,100.0,96.88,97.37,100.0,96.88,97.37,9,36,36,0,0,100.0,True,True,4.0,20.229,100.0,100.0,100.0,100.0,100.0,100.0,36,11.111,0.0,3.12,2.63,-2.4,2,0,4,GREEN,True
AbstractStAXEventProcessor_printContent,jdom2,completed,COMPLETED,10,4,12,1,7,33.33,True,False,0.4,,56.0,57.14,51.89,0.0,0.0,0.0,14,8,12,1,3,66.67,True,False,0.5714,51.364,80.0,71.43,68.87,0.0,0.0,0.0,12,33.333,24.0,14.29,16.98,0.1714,4,0,4,GREEN_FILTERED,True
Verifier_isXMLExtender,jdom2,completed,COMPLETED,6,29,38,6,3,76.32,True,False,4.8333,,100.0,93.33,94.81,0.0,0.0,0.0,16,33,38,5,0,86.84,True,False,2.0625,45.639,100.0,100.0,100.0,0.0,0.0,0.0,38,10.526,0.0,6.67,5.19,-2.7708,3,0,10,GREEN_FILTERED,True
AbstractStAXEventProcessor_printDocument,jdom2,completed,COMPLETED,11,0,27,0,27,0.0,True,False,0.0,,23.08,18.18,21.95,0.0,0.0,0.0,11,0,27,0,27,0.0,True,False,0.0,165.386,0.0,0.0,0.0,0.0,0.0,0.0,27,0,-23.08,-18.18,-21.95,0.0,0,0,0,GREEN_FILTERED,True
WalkerTRIM_analyzeMultiText,jdom2,completed,COMPLETED,5,0,23,0,23,0.0,True,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5,0,23,0,23,0.0,True,False,0.0,153.165,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0.0,0.0,0.0,0.0,0,0,0,GREEN_FILTERED,True
SAXHandler_startElement,jdom2,completed,COMPLETED,2,0,39,0,39,0.0,True,False,0.0,,25.37,15.38,23.22,0.0,0.0,0.0,2,0,39,0,39,0.0,True,False,0.0,388.175,0.0,0.0,0.0,0.0,0.0,0.0,39,0,-25.37,-15.38,-23.22,0.0,0,0,0,GREEN_FILTERED,True
Format_escapeAttribute,jdom2,completed,COMPLETED,7,9,25,14,2,36.0,True,False,1.2857,,87.04,80.0,88.33,0.0,0.0,0.0,12,15,25,10,0,60.0,True,False,1.25,250.171,70.37,67.5,73.33,0.0,0.0,0.0,25,24.0,-16.67,-12.5,-15.0,-0.0357,6,0,5,GREEN_FILTERED,True
ByteMachine_doTransitionOn,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MachineComplexityEvaluator_evaluate,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteMachine_findRangePattern,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteMachine_addEndOfMatch,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JsonRuleCompiler_processMatchExpression,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteMachine_addMatchReferences,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JsonRuleCompiler_writeRules,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruler_matches,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteMachine_addRangePattern,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MachineComplexityEvaluator_getMatchesAccessibleFromEachTransition,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteMachine_updateMatchReferences,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteMachine_deleteRangePattern,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RuleCompiler_processMatchExpression,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteMachine_findMatchPattern,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GenericMachine_deleteStep,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RuleCompiler_writeRules,ruler,failed,SEED_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AntPathMatcher_isMatch,windward,completed,COMPLETED,14,18,32,6,8,56.25,True,False,1.2857,,92.0,88.89,93.38,0.0,0.0,0.0,27,25,32,3,4,78.12,True,False,0.9259,72.557,88.0,86.11,91.91,0.0,0.0,0.0,32,21.875,-4.0,-2.78,-1.47,-0.3598,6,0,13,GREEN_FILTERED,True
AbstractRouterGroup_matchRouter,windward,completed,COMPLETED,3,0,20,0,20,0.0,True,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7,0,20,0,20,0.0,True,True,0.0,102.63,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0,0,4,GREEN,True
